ID;EMPRESA;CATEGORIA;DETALHE;IMPACTO;ACAO_RECOMENDADA
"28";"CONFIANÇA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"31";"MUNICÍPIO DE ALAGOINHAS - BAHIA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"32";"SINDICATO DA IND DE PANIFICACAO E CONFEITARIA DO EST PE";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"35";"PROTEMAXI SEGURANÇA PATRIMONIAL";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"36";"NORAL NORDESTE ALUMINIO LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"37";"ENGECAMPO ENGENHARIA S/A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"38";"MAIS HOTEL";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"40";"JMC SERVIÇOS E TERCEIRIZAÇÕES LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"41";"LE JAZZ BAR E RESTAURANTE LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"42";"VIKSERVICES OUTSOURCING S.A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"43";"CENTRO COMERCIAL ALPHAVILLE (funcionários CLT)";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"46";"CAPRICCHE S.A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"47";"FOUR RUBBER INDÚSTRIA E COMERCIO DE BORRACHAS E PLASTICO LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"51";"INSTITUICAO ASSISTENCIAL EMMANUEL";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"52";"LEAP TECHNOLOGIES MANUTENCAO LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"53";"LOCAR GUINDASTES E TRANSPORTES INTERMODAIS S A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"57";"TERRABEL EMPREENDIEMNTOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"58";"ITS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"59";"SERMAC";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"60";"COTEMON";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"62";"CAVALO MARINHO COMBUSTIVEIS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"63";"CAVALO MARINHO COMBUSTIVEIS LOG E DIST";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"64";"REDE NOVO MIX";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"65";"TROPICAL MensalidadeIENTAL RESIDUOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"66";"CTA TREINAMENTO ASSESSORIA E SERVICOS COORP";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"67";"AGENCIA MARITIMA E TRANSPORTES LUMAR LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"68";"DECMINAS DISTRIBUICAO E LOGISTICA S.A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"69";"COOPERTAXI – COOPERATIVA DOS MOT AUT. DA REG. DA REG. MET. LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"70";"TELLUS INFORMÁTICA E TELECOMUNICAÇÕES LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"71";"OS RODRIGUES CONFECÇÕES";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"73";"FACILIT";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"74";"FACILIT";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"75";"CONDOMINIO EDIFICIO MORADA DOS CARDEAIS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"76";"CONSORCIO LOCAT";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"79";"QUANT BRASIL MANUTENÇÃO INDUSTRIAL LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"80";"CONCREMAT ENGENHARIA E TECNOLOGIA S.A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"81";"SANTANA SERVICE EMPREENDIMENTOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"82";"SIEEC/PE";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"83";"TELECOMUNICAÇÕES NORDESTE LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"86";"ORGANIZACAO FARMACEUTICA NAKANO LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"90";"PARAIBA PLAST COMERCIAL LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"91";"SUPERMERCADO OURINHOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"93";"ALPI DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"106";"DRS ENGENHARIA LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"107";"HOSPITAL DE BROTAS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"108";"CESTA DO POVO SUPERMERCADO";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"109";"ENGEVALE ENGENHARIA S.A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"110";"MG SERVIOS MANUTENCAO PROJETOS E OBRAS LTDA - ME";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"111";"SOLUCOES SERVICOS TERCEIRIZADOS- EIRELI";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"112";"CNB - CENTRAL DE NOTICIAS BRASILEIRAS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"113";"FORTGIRO DISTRIBUIDORA DE AUTO PECAS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"114";"ESCOLA SENHOR DO BONFIM";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"115";"CONDOMINIO EDIFICIO MORADA DOS CARDEAIS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"116";"CONSORCIO CITELUM – 2 MS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"117";"COMERCIAL DE FERRAGENS SÃO LUIS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"118";"CONSORCIO LIMPA GUARULHOS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"119";"SANTA CASA DE LEME";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"121";"PARAIBA PLAST COMERCIAL LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"122";"HEALTH BRASIL COMERCIO ATACADISTA DE MEDICAMENTOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"123";"HIGICLEAN TECNOLOGIA EM HIGIENIZAÇÃO E CONSERVAÇÃO LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"124";"ENOTEL - HOTELS & RESORTS S/A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"125";"OBJETIVA SERVICOS TERCEIRIZADOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"126";"NAUTILLUS CONSTRUCOES E COMERCIO LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"127";"CANAA SERVICOS DE MANUTENCAO E CONSERVAÇÃO LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"128";"DESENVOLVIDA INSTITUTO PARA O DESENV";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"129";"TEL CENTRO DE CONTATOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"130";"MUNICIPIO DE IRANDUBA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"131";"TAPS - TMensalidadeAI AUTOS, PECAS E SERVICOS LTDA(JOÃO PESSOA-PB)";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"132";"PADARIA E CONVENIENCIA SILVEIRA LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"134";"DRS ENGENHARIA LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"137";"HOSPITAL DE BROTAS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"138";"CESTA DO POVO SUPERMERCADO";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"139";"ENGEVALE ENGENHARIA S.A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"143";"MG SERVIOS MANUTENCAO PROJETOS E OBRAS LTDA - ME";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"144";"SOLUCOES SERVICOS TERCEIRIZADOS- EIRELI";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"145";"CNB - CENTRAL DE NOTICIAS BRASILEIRAS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"146";"FORTGIRO DISTRIBUIDORA DE AUTO PECAS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"147";"ESCOLA SENHOR DO BONFIM";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"148";"CONDOMINIO EDIFICIO MORADA DOS CARDEAIS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"152";"CONSORCIO CITELUM – 2 MS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"153";"COMERCIAL DE FERRAGENS SÃO LUIS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"154";"CONSORCIO LIMPA GUARULHOS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"155";"SANTA CASA DE LEME";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"156";"CONDOMINIO HANGAR BUSINESS PARK";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
